	Standard Value	Duplicate	Molecule Max Phase	Molecular Weight	#RO5 Violations	AlogP	Compound Key	Smiles	Standard Type	Standard Relation	Standard Units	pChEMBL Value	Ligand Efficiency BEI	Ligand Efficiency LE	Ligand Efficiency LLE	Ligand Efficiency SEI	Potential Duplicate	Assay Description	BAO Label	Assay Organism	Assay Cell Type	Source ID	Properties	Action Type
CHEMBL565882	0.76	FALSE	None	304.31	0	2.98	8	NC(=O)c1cccc2[nH]c(-c3ccc(-c4cnco4)cc3)nc12	Ki	='	nM	9.12	29.97	0.54	6.14	9.32	0	Inhibition of PARP1 by scintillation counting	single protein format	None	None	1		
CHEMBL571928	2.2	FALSE	None	335.39	0	3.03	17	NC(=O)c1cccc2[nH]c(-c3ccc(-c4csc(N)n4)cc3)nc12	Ki	='	nM	8.66	25.81	0.49	5.63	7.82	0	Inhibition of PARP1 by scintillation counting	single protein format	None	None	1		
CHEMBL574147	1.7	FALSE	None	320.38	0	3.45	15	NC(=O)c1cccc2[nH]c(-c3ccc(-c4cscn4)cc3)nc12	Ki	='	nM	8.77	27.37	0.52	5.32	10.36	0	Inhibition of PARP1 by scintillation counting	single protein format	None	None	1		
CHEMBL576910	1.6	FALSE	None	321.3	0	1.67	25	NC(=O)c1cccc2[nH]c(-c3ccc(-c4n[nH]c(=O)o4)cc3)nc12	Ki	='	nM	8.8	27.38	0.5	7.13	6.73	0	Inhibition of PARP1 by scintillation counting	single protein format	None	None	1		
CHEMBL565881	2.2	FALSE	None	303.32	0	2.72	10	NC(=O)c1cccc2[nH]c(-c3ccc(-c4ncc[nH]4)cc3)nc12	Ki	='	nM	8.66	28.54	0.51	5.94	8.62	0	Inhibition of PARP1 by scintillation counting	single protein format	None	None	1		
CHEMBL569195	1	FALSE	None	305.3	0	2.38	24	NC(=O)c1cccc2[nH]c(-c3ccc(-c4nnco4)cc3)nc12	Ki	='	nM	9	29.48	0.53	6.62	8.13	0	Inhibition of PARP1 by scintillation counting	single protein format	None	None	1		
CHEMBL567400	20	FALSE	None	305.3	0	1.51	27	NC(=O)c1cccc2[nH]c(-c3ccc(-c4nnn[nH]4)cc3)nc12	Ki	='	nM	7.7	25.22	0.46	6.19	6.1	0	Inhibition of PARP1 by scintillation counting	single protein format	None	None	1		
CHEMBL578559	16	FALSE	None	321.3	0	1.67	29	NC(=O)c1cccc2[nH]c(-c3ccc(-c4noc(=O)[nH]4)cc3)nc12	Ki	='	nM	7.8	24.26	0.44	6.13	5.97	0	Inhibition of PARP1 by scintillation counting	single protein format	None	None	1		
CHEMBL569636	3.8	FALSE	None	337.36	0	3.04	31	NC(=O)c1cccc2[nH]c(-c3ccc(-c4noc(=S)[nH]4)cc3)nc12	Ki	='	nM	8.42	24.96	0.48	5.38	7.41	0	Inhibition of PARP1 by scintillation counting	single protein format	None	None	1		
CHEMBL583526	5.2	FALSE	None	337.36	0	2.14	30	NC(=O)c1cccc2[nH]c(-c3ccc(-c4nsc(=O)[nH]4)cc3)nc12	Ki	='	nM	8.28	24.56	0.47	6.14	7.05	0	Inhibition of PARP1 by scintillation counting	single protein format	None	None	1		
CHEMBL1090467	1	FALSE	None	324.36	0	2.89	22b	NC(=O)c1cccc2[nH]c(-c3ccc([C@@H]4CCCN4)cc3F)nc12	Ki	='	nM	9	27.75	0.51	6.11	10.74	0	Inhibition of PARP1 using [3H]NAD+ by top count scintillation counting	single protein format	None	None	1		
CHEMBL1089124	9	FALSE	None	338.39	0	3.28	25a	NC(=O)c1cccc2[nH]c(-c3ccc([C@H]4CCCCN4)cc3F)nc12	Ki	='	nM	8.05	23.78	0.44	4.77	9.6	0	Inhibition of PARP1 using [3H]NAD+ by top count scintillation counting	single protein format	None	None	1		
CHEMBL1090466	4	FALSE	None	324.36	0	2.89	22a	NC(=O)c1cccc2[nH]c(-c3ccc([C@H]4CCCN4)cc3F)nc12	Ki	='	nM	8.4	25.89	0.48	5.51	10.02	0	Inhibition of PARP1 using [3H]NAD+ by top count scintillation counting	single protein format	None	None	1		
CHEMBL339167	8	FALSE	None	282.26	0	2.24	40	NC(=O)c1cccc2[nH]c(-c3ccc([N+](=O)[O-])cc3)nc12	Ki	='	nM	8.1	28.69	0.53	5.86	7.05	0	In vitro inhibition against human full length PARP protein	single protein format	None	None	1		
CHEMBL335198	290	FALSE	None	281.27	0	2.03	46	NC(=O)c1cccc2[nH]c(-c3ccc(C(=O)O)cc3)nc12	Ki	='	nM	6.54	23.24	0.43	4.51	5.99	0	In vitro inhibition against human full length PARP protein	single protein format	None	None	1		
CHEMBL334734	1.2	FALSE	None	305.26	0	3.35	39	NC(=O)c1cccc2[nH]c(-c3ccc(C(F)(F)F)cc3)nc12	Ki	='	nM	8.92	29.22	0.55	5.57	12.43	0	In vitro inhibition against human full length PARP protein	single protein format	None	None	1		
CHEMBL1093900	4	FALSE	None	320.4	0	3.14	11	NC(=O)c1cccc2[nH]c(-c3ccc(C4CCCCN4)cc3)nc12	Ki	='	nM	8.4	26.21	0.48	5.26	10.02	0	Inhibition of PARP1 using [3H]NAD+ by top count scintillation counting	single protein format	None	None	1		
CHEMBL1089101	6	FALSE	None	338.39	0	3.28	25	NC(=O)c1cccc2[nH]c(-c3ccc(C4CCCCN4)cc3F)nc12	Ki	='	nM	8.22	24.3	0.45	4.94	9.81	0	Inhibition of PARP1 using [3H]NAD+ by top count scintillation counting	single protein format	None	None	1		
CHEMBL1093844	3	FALSE	None	306.37	0	2.75	5	NC(=O)c1cccc2[nH]c(-c3ccc(C4CCCN4)cc3)nc12	Ki	='	nM	8.52	27.82	0.51	5.77	10.17	0	Inhibition of PARP1 using [3H]NAD+ by top count scintillation counting	single protein format	None	None	1		
CHEMBL1093309	3	FALSE	None	324.36	0	2.89	22	NC(=O)c1cccc2[nH]c(-c3ccc(C4CCCN4)cc3F)nc12	Ki	='	nM	8.52	26.28	0.48	5.63	10.17	0	Inhibition of PARP1 using [3H]NAD+ by top count scintillation counting	single protein format	None	None	1		
CHEMBL1092691	3	FALSE	None	320.4	0	2.8	12	NC(=O)c1cccc2[nH]c(-c3ccc(C4CCCNC4)cc3)nc12	Ki	='	nM	8.52	26.6	0.48	5.72	10.17	0	Inhibition of PARP1 using [3H]NAD+ by top count scintillation counting	single protein format	None	None	1		
CHEMBL1093845	3	FALSE	None	306.37	0	2.41	6	NC(=O)c1cccc2[nH]c(-c3ccc(C4CCNC4)cc3)nc12	Ki	='	nM	8.52	27.82	0.51	6.11	10.17	0	Inhibition of PARP1 using [3H]NAD+ by top count scintillation counting	single protein format	None	None	1		
CHEMBL1090136	2	FALSE	None	320.4	0	2.8	13	NC(=O)c1cccc2[nH]c(-c3ccc(C4CCNCC4)cc3)nc12	Ki	='	nM	8.7	27.15	0.5	5.9	10.38	0	Inhibition of PARP1 using [3H]NAD+ by top count scintillation counting	single protein format	None	None	1		
CHEMBL131891	3	FALSE	None	271.71	0	2.98	59	NC(=O)c1cccc2[nH]c(-c3ccc(Cl)cc3)nc12	Ki	='	nM	8.52	31.37	0.61	5.54	11.88	0	In vitro inhibition against human full length PARP protein	single protein format	None	None	1		
CHEMBL79218	4.5	FALSE	None	354.41	0	1.12	14c	NC(=O)c1cccc2[nH]c(-c3ccc(CN(CCO)CCO)cc3)nc12	Ki	='	nM	8.35	23.55	0.44	7.23	7.23	0	Binding affinity towards human poly(ADP-ribose) polymerase-1 (PARP-1)	single protein format	None	None	1		
CHEMBL312135	5.9	FALSE	None	320.4	0	2.92	14d	NC(=O)c1cccc2[nH]c(-c3ccc(CN4CCCC4)cc3)nc12	Ki	='	nM	8.23	25.68	0.47	5.31	10.97	0	Binding affinity towards human poly(ADP-ribose) polymerase-1 (PARP-1)	single protein format	None	None	1		
CHEMBL419475	7.2	FALSE	None	334.42	0	3.31	14e	NC(=O)c1cccc2[nH]c(-c3ccc(CN4CCCCC4)cc3)nc12	Ki	='	nM	8.14	24.35	0.44	4.83	10.86	0	Binding affinity towards human poly(ADP-ribose) polymerase-1 (PARP-1)	single protein format	None	None	1		
CHEMBL432166	12	FALSE	None	336.4	0	2.16	14f	NC(=O)c1cccc2[nH]c(-c3ccc(CN4CCOCC4)cc3)nc12	Ki	='	nM	7.92	23.55	0.43	5.76	9.4	0	Binding affinity towards human poly(ADP-ribose) polymerase-1 (PARP-1)	single protein format	None	None	1		
CHEMBL133241	1.6	FALSE	None	267.29	0	1.82	78	NC(=O)c1cccc2[nH]c(-c3ccc(CO)cc3)nc12	Ki	='	nM	8.8	32.91	0.6	6.98	9.56	0	In vitro inhibition against human full length PARP protein	single protein format	None	None	1		
CHEMBL134197	11	FALSE	None	252.28	0	1.91	42	NC(=O)c1cccc2[nH]c(-c3ccc(N)cc3)nc12	Ki	='	nM	7.96	31.55	0.57	6.05	8.14	0	In vitro inhibition against human full length PARP protein	single protein format	None	None	1		
CHEMBL131719	6	FALSE	None	253.26	0	2.03	45	NC(=O)c1cccc2[nH]c(-c3ccc(O)cc3)nc12	Ki	='	nM	8.22	32.46	0.59	6.19	8.94	1	In vitro inhibition against human full length PARP protein	single protein format	None	None	1		
	6	TRUE	None	253.26	0	2.03	NU-1085	NC(=O)c1cccc2[nH]c(-c3ccc(O)cc3)nc12	Ki	='	nM	8.22	32.46	0.59	6.19	8.94	0	Inhibition of human Poly (ADP-ribose) polymerase 1 enzyme	single protein format	Homo sapiens	None	1		
CHEMBL337386	5.9	FALSE	None	281.27	0	2.06	67	NC(=O)c1cccc2[nH]c(-c3ccc4c(c3)OCO4)nc12	Ki	='	nM	8.23	29.26	0.54	6.17	9.12	0	In vitro inhibition against human full length PARP protein	single protein format	None	None	1		
CHEMBL335516	8	FALSE	None	305.26	0	3.35	43	NC(=O)c1cccc2[nH]c(-c3cccc(C(F)(F)F)c3)nc12	Ki	='	nM	8.1	26.52	0.5	4.75	11.28	0	In vitro inhibition against human full length PARP protein	single protein format	None	None	1		
CHEMBL132947	8.4	FALSE	None	271.71	0	2.98	83	NC(=O)c1cccc2[nH]c(-c3cccc(Cl)c3)nc12	Ki	='	nM	8.08	29.72	0.58	5.1	11.25	0	In vitro inhibition against human full length PARP protein	single protein format	None	None	1		
CHEMBL81143	272	FALSE	None	354.41	0	1.12	13b	NC(=O)c1cccc2[nH]c(-c3cccc(CN(CCO)CCO)c3)nc12	Ki	='	nM	6.57	18.52	0.34	5.45	5.69	0	Binding affinity towards human poly(ADP-ribose) polymerase-1 (PARP-1)	single protein format	None	None	1		
CHEMBL81077	10.2	FALSE	None	320.4	0	2.92	13c	NC(=O)c1cccc2[nH]c(-c3cccc(CN4CCCC4)c3)nc12	Ki	='	nM	7.99	24.94	0.45	5.07	10.65	0	Binding affinity towards human poly(ADP-ribose) polymerase-1 (PARP-1)	single protein format	None	None	1		
CHEMBL84328	11.7	FALSE	None	334.42	0	3.31	13d	NC(=O)c1cccc2[nH]c(-c3cccc(CN4CCCCC4)c3)nc12	Ki	='	nM	7.93	23.72	0.43	4.62	10.57	0	Binding affinity towards human poly(ADP-ribose) polymerase-1 (PARP-1)	single protein format	None	None	1		
CHEMBL443798	31	FALSE	None	336.4	0	2.16	13e	NC(=O)c1cccc2[nH]c(-c3cccc(CN4CCOCC4)c3)nc12	Ki	='	nM	7.51	22.32	0.41	5.35	8.91	0	Binding affinity towards human poly(ADP-ribose) polymerase-1 (PARP-1)	single protein format	None	None	1		
CHEMBL337254	6.8	FALSE	None	267.29	0	1.82	79	NC(=O)c1cccc2[nH]c(-c3cccc(CO)c3)nc12	Ki	='	nM	8.17	30.56	0.56	6.35	8.88	0	In vitro inhibition against human full length PARP protein	single protein format	None	None	1		
CHEMBL336070	6.3	FALSE	None	253.26	0	2.03	60	NC(=O)c1cccc2[nH]c(-c3cccc(O)c3)nc12	Ki	='	nM	8.2	32.38	0.59	6.17	8.91	0	In vitro inhibition against human full length PARP protein	single protein format	None	None	1		
CHEMBL81723	15	FALSE	None	237.26	0	2.33	23	NC(=O)c1cccc2[nH]c(-c3ccccc3)nc12	Ki	='	nM	7.82	32.98	0.59	5.49	10.9	1	In vitro inhibition against human full length PARP protein	single protein format	None	None	1		
	15	TRUE	None	237.26	0	2.33	NU1070	NC(=O)c1cccc2[nH]c(-c3ccccc3)nc12	Ki	='	nM	7.82	32.98	0.59	5.49	10.9	0	Binding affinity towards human poly(ADP-ribose) polymerase-1 (PARP-1)	single protein format	None	None	1		
	17	TRUE	None	237.26	0	2.33	3a	NC(=O)c1cccc2[nH]c(-c3ccccc3)nc12	Ki	='	nM	7.77	32.75	0.59	5.44	10.83	0	Inhibition of PARP1 using [3H]NAD+ by top count scintillation counting	single protein format	None	None	1		
	17	TRUE	None	237.26	0	2.33	2b	NC(=O)c1cccc2[nH]c(-c3ccccc3)nc12	Ki	='	nM	7.77	32.75	0.59	5.44	10.83	1	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL334603	190	FALSE	None	305.26	0	3.35	81	NC(=O)c1cccc2[nH]c(-c3ccccc3C(F)(F)F)nc12	Ki	='	nM	6.72	22.02	0.42	3.37	9.36	0	In vitro inhibition against human full length PARP protein	single protein format	None	None	1		
CHEMBL335226	9.4	FALSE	None	271.71	0	2.98	82	NC(=O)c1cccc2[nH]c(-c3ccccc3Cl)nc12	Ki	='	nM	8.03	29.54	0.58	5.05	11.18	0	In vitro inhibition against human full length PARP protein	single protein format	None	None	1		
CHEMBL133275	10.6	FALSE	None	267.29	0	1.82	80	NC(=O)c1cccc2[nH]c(-c3ccccc3CO)nc12	Ki	='	nM	7.97	29.84	0.54	6.15	8.67	0	In vitro inhibition against human full length PARP protein	single protein format	None	None	1		
CHEMBL133353	9	FALSE	None	255.25	0	2.47	84	NC(=O)c1cccc2[nH]c(-c3ccccc3F)nc12	Ki	='	nM	8.05	31.52	0.58	5.58	11.21	0	In vitro inhibition against human full length PARP protein	single protein format	None	None	1		
CHEMBL460267	16	FALSE	None	244.25	0	0.61	6c	NC(=O)c1cccc2[nH]c([C@@H]3CCC(=O)N3)nc12	Ki	='	nM	7.8	31.92	0.59	7.19	7.73	0	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL488664	41	FALSE	None	244.3	0	1.48	8b	NC(=O)c1cccc2[nH]c([C@@H]3CCCCN3)nc12	Ki	='	nM	7.39	30.24	0.56	5.91	8.82	0	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL488831	30	FALSE	None	230.27	0	1.09	6	NC(=O)c1cccc2[nH]c([C@@H]3CCCN3)nc12	Ki	='	nM	7.52	32.67	0.6	6.43	8.98	1	Inhibition of PARP1	single protein format	None	None	1		
	30	TRUE	None	230.27	0	1.09	4b	NC(=O)c1cccc2[nH]c([C@@H]3CCCN3)nc12	Ki	='	nM	7.52	32.67	0.6	6.43	8.98	0	Inhibition of human recombinant PARP1	single protein format	Homo sapiens	None	1		
CHEMBL488497	37	FALSE	None	244.3	0	1.48	8a	NC(=O)c1cccc2[nH]c([C@H]3CCCCN3)nc12	Ki	='	nM	7.43	30.42	0.56	5.95	8.87	0	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL488830	7	FALSE	None	230.27	0	1.09	5	NC(=O)c1cccc2[nH]c([C@H]3CCCN3)nc12	Ki	='	nM	8.15	35.41	0.66	7.06	9.73	1	Inhibition of PARP1	single protein format	None	None	1		
	7	TRUE	None	230.27	0	1.09	3b	NC(=O)c1cccc2[nH]c([C@H]3CCCN3)nc12	Ki	='	nM	8.15	35.41	0.66	7.06	9.73	0	Inhibition of human recombinant PARP1	single protein format	Homo sapiens	None	1		
CHEMBL133096	350	FALSE	None	229.16	0	1.68	17	NC(=O)c1cccc2[nH]c(C(F)(F)F)nc12	Ki	='	nM	6.46	28.17	0.55	4.78	9	0	In vitro inhibition against human full length PARP protein	single protein format	None	None	1		
CHEMBL448924	25	FALSE	None	216.24	0	0.61	8o	NC(=O)c1cccc2[nH]c(C3(N)CC3)nc12	Ki	='	nM	7.6	35.16	0.65	6.99	7.77	0	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL479777	58	FALSE	None	292.34	0	1.61	8s	NC(=O)c1cccc2[nH]c(C3(N)Cc4ccccc4C3)nc12	Ki	='	nM	7.24	24.75	0.45	5.63	7.4	0	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL508903	25	FALSE	None	230.27	0	1	8p	NC(=O)c1cccc2[nH]c(C3(N)CCC3)nc12	Ki	='	nM	7.6	33.01	0.61	6.6	7.77	0	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL520745	18	FALSE	None	306.37	0	2	8r	NC(=O)c1cccc2[nH]c(C3(N)CCc4ccccc4C3)nc12	Ki	='	nM	7.75	25.28	0.46	5.74	7.92	0	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL481285	50	FALSE	None	258.32	0	1.78	8q	NC(=O)c1cccc2[nH]c(C3(N)CCCCC3)nc12	Ki	='	nM	7.3	28.26	0.52	5.52	7.47	0	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL495975	25	FALSE	None	244.3	0	1.48	8b	NC(=O)c1cccc2[nH]c(C3CCCCN3)nc12	Ki	='	nM	7.6	31.12	0.58	6.12	9.07	0	Inhibition of human recombinant PARP1	single protein format	Homo sapiens	None	1		
CHEMBL460474	4	FALSE	None	326.44	0	3.17	11b	NC(=O)c1cccc2[nH]c(C3CCCN(C4CCCC4)CC3)nc12	Ki	='	nM	8.4	25.73	0.48	5.23	11.2	0	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL488665	11	FALSE	None	244.3	0	1.13	9	NC(=O)c1cccc2[nH]c(C3CCCNC3)nc12	Ki	='	nM	7.96	32.58	0.6	6.83	9.5	0	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL488053	5	FALSE	None	258.32	0	1.52	10b	NC(=O)c1cccc2[nH]c(C3CCCNCC3)nc12	Ki	='	nM	8.3	32.13	0.6	6.78	9.91	0	Inhibition of human recombinant PARP1	single protein format	Homo sapiens	None	1		
	5	TRUE	None	258.32	0	1.52	11	NC(=O)c1cccc2[nH]c(C3CCCNCC3)nc12	Ki	='	nM	8.3	32.13	0.6	6.78	9.91	1	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL453059	5	FALSE	None	298.39	0	2.39	7c	NC(=O)c1cccc2[nH]c(C3CCN(C4CCCC4)C3)nc12	Ki	='	nM	8.3	27.82	0.52	5.91	11.07	0	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL452025	6	FALSE	None	312.42	0	2.78	10d	NC(=O)c1cccc2[nH]c(C3CCN(C4CCCC4)CC3)nc12	Ki	='	nM	8.22	26.32	0.49	5.44	10.96	0	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL453060	9	FALSE	None	334.42	0	2.69	7d	NC(=O)c1cccc2[nH]c(C3CCN(CCc4ccccc4)C3)nc12	Ki	='	nM	8.05	24.06	0.44	5.36	10.73	0	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL518484	27	FALSE	None	384.46	0	2.23	10g	NC(=O)c1cccc2[nH]c(C3CCN(S(=O)(=O)c4ccccc4)CC3)nc12	Ki	='	nM	7.57	19.69	0.38	5.34	6.93	0	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL505655	34	FALSE	None	216.24	0	0.7	3	NC(=O)c1cccc2[nH]c(C3CCN3)nc12	Ki	='	nM	7.47	34.54	0.64	6.77	8.91	0	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL452784	180	FALSE	None	284.36	0	2.35	3b	NC(=O)c1cccc2[nH]c(C3CCN3C3CCCC3)nc12	Ki	='	nM	6.75	23.72	0.44	4.39	8.99	0	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL488496	4	FALSE	None	230.27	0	0.74	6b	NC(=O)c1cccc2[nH]c(C3CCNC3)nc12	Ki	='	nM	8.4	36.47	0.67	7.66	10.02	0	Inhibition of human recombinant PARP1	single protein format	Homo sapiens	None	1		
	4	TRUE	None	230.27	0	0.74	7	NC(=O)c1cccc2[nH]c(C3CCNC3)nc12	Ki	='	nM	8.4	36.47	0.67	7.66	10.02	1	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL488052	5	FALSE	None	244.3	0	1.13	10	NC(=O)c1cccc2[nH]c(C3CCNCC3)nc12	Ki	='	nM	8.3	33.98	0.63	7.17	9.91	0	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL504878	15	FALSE	None	284.36	0	2	4b	NC(=O)c1cccc2[nH]c(C3CN(C4CCCC4)C3)nc12	Ki	='	nM	7.82	27.51	0.51	5.82	10.43	0	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL527654	6	FALSE	None	216.24	0	0.35	2b	NC(=O)c1cccc2[nH]c(C3CNC3)nc12	Ki	='	nM	8.22	38.02	0.7	7.87	9.81	0	Inhibition of human recombinant PARP1	single protein format	Homo sapiens	None	1		
	6	TRUE	None	216.24	0	0.35	4	NC(=O)c1cccc2[nH]c(C3CNC3)nc12	Ki	='	nM	8.22	38.02	0.7	7.87	9.81	1	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL460259	26	FALSE	None	245.29	0	-0.1	12	NC(=O)c1cccc2[nH]c(C3CNCCN3)nc12	Ki	='	nM	7.58	30.92	0.58	7.69	7.92	0	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL133694	95	FALSE	None	161.16	0	0.66	19	NC(=O)c1cccc2[nH]cnc12	Ki	='	nM	7.02	43.57	0.8	6.36	9.78	0	In vitro inhibition against human full length PARP protein	single protein format	None	None	1		
	240	TRUE	None	161.16	0	0.66	8a	NC(=O)c1cccc2[nH]cnc12	Ki	='	nM	6.62	41.08	0.75	5.96	9.22	0	Inhibition of PARP1	single protein format	None	None	1		
	240	TRUE	None	161.16	0	0.66	1	NC(=O)c1cccc2[nH]cnc12	Ki	='	nM	6.62	41.08	0.75	5.96	9.22	1	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL607848	32	FALSE	None	335.41	0	2.41	1n	NC(=O)c1cccc2c1C(=O)N(c1ccc(C3CCNCC3)cc1)C2	Ki	='	nM	7.5	22.35	0.41	5.08	9.94	0	Inhibition of PARP1 by microplate scintillation counting	single protein format	None	None	1		
CHEMBL596722	53	FALSE	None	335.41	0	2.54	1l	NC(=O)c1cccc2c1C(=O)N(c1ccc(CN3CCCC3)cc1)C2	Ki	='	nM	7.28	21.69	0.4	4.74	10.92	0	Inhibition of PARP1 by microplate scintillation counting	single protein format	None	None	1		
CHEMBL596926	314	FALSE	None	335.41	0	2.41	1o	NC(=O)c1cccc2c1C(=O)N(c1cccc(C3CCNCC3)c1)C2	Ki	='	nM	6.5	19.39	0.36	4.09	8.62	0	Inhibition of PARP1 by microplate scintillation counting	single protein format	None	None	1		
CHEMBL596925	391	FALSE	None	335.41	0	2.54	1m	NC(=O)c1cccc2c1C(=O)N(c1cccc(CN3CCCC3)c1)C2	Ki	='	nM	6.41	19.1	0.35	3.87	9.62	0	Inhibition of PARP1 by microplate scintillation counting	single protein format	None	None	1		
CHEMBL597888	172	FALSE	None	258.32	0	2.07	1c	NC(=O)c1cccc2c1C(=O)N(C1CCCCC1)C2	Ki	='	nM	6.76	26.19	0.49	4.69	10.67	0	Inhibition of PARP1 by microplate scintillation counting	single protein format	None	None	1		
CHEMBL598087	140	FALSE	None	259.31	0	0.49	1f	NC(=O)c1cccc2c1C(=O)N(C1CCCNC1)C2	Ki	='	nM	6.85	26.43	0.49	6.36	9.09	0	Inhibition of PARP1 by microplate scintillation counting	single protein format	None	None	1		
CHEMBL597889	59	FALSE	None	245.28	0	0.1	1d	NC(=O)c1cccc2c1C(=O)N(C1CCNC1)C2	Ki	='	nM	7.23	29.47	0.55	7.13	9.58	0	Inhibition of PARP1 by microplate scintillation counting	single protein format	None	None	1		
CHEMBL597890	33	FALSE	None	259.31	0	0.49	1e	NC(=O)c1cccc2c1C(=O)N(C1CCNCC1)C2	Ki	='	nM	7.48	28.85	0.54	6.99	9.92	0	Inhibition of PARP1 by microplate scintillation counting	single protein format	None	None	1		
CHEMBL589755	377	FALSE	None	259.31	0	0.49	1g	NC(=O)c1cccc2c1C(=O)N(CC1CCCN1)C2	Ki	='	nM	6.42	24.77	0.46	5.93	8.52	0	Inhibition of PARP1 by microplate scintillation counting	single protein format	None	None	1		
CHEMBL598093	164	FALSE	None	273.34	0	0.74	1i	NC(=O)c1cccc2c1C(=O)N(CC1CCCNC1)C2	Ki	='	nM	6.79	24.82	0.46	6.05	9	0	Inhibition of PARP1 by microplate scintillation counting	single protein format	None	None	1		
CHEMBL598088	384	FALSE	None	273.34	0	0.74	1h	NC(=O)c1cccc2c1C(=O)N(CC1CCNCC1)C2	Ki	='	nM	6.42	23.47	0.44	5.68	8.51	0	Inhibition of PARP1 by microplate scintillation counting	single protein format	None	None	1		
NIRAPARIB	3.2	FALSE	4	320.4	0	2.59	MK-4827	NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12	Ki	='	nM	8.49	26.51	0.48	5.9	11.65	0	Inhibition of PARP1 (unknown origin)	single protein format	Homo sapiens	None	1		
CHEMBL1089125	6	FALSE	None	338.39	0	3.28	25b	NC(=O)c1cccc2nc(-c3ccc([C@@H]4CCCCN4)cc3F)[nH]c12	Ki	='	nM	8.22	24.3	0.45	4.94	9.81	0	Inhibition of PARP1 using [3H]NAD+ by top count scintillation counting	single protein format	None	None	1		
CHEMBL3943233	3	FALSE	None	412.47	0	1.72	BDBM213929	NC(=O)C1CCCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)C1	Ki	='	nM	8.52	20.66	0.39	6.8	7.81	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
	3	TRUE	None	412.47	0	1.72	BDBM213929	NC(=O)C1CCCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)C1	Ki	='	nM	8.52	20.66	0.39	6.8	7.81	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
